timestamp,left_temp,left_vel,left_deg,right_temp,right_vel,right_deg,rotation_deg,autonSelector_deg,hTracker_deg,imu_heading,mfl_temp,mfl_vel,mfl_deg,mml_temp,mml_vel,mml_deg,mbl_temp,mbl_vel,mbl_deg,mfr_temp,mfr_vel,mfr_deg,mmr_temp,mmr_vel,mmr_deg,mbr_temp,mbr_vel,mbr_deg,imu_rotation,imu_pitch,imu_roll
4876,40.000000,186.266667,2.906667,40.000000,183.333333,0.264444,1.581667,196.870000,21474836.470000,88.518312,40.000000,191.000000,2.896667,40.000000,186.000000,2.906667,40.000000,181.800000,2.916667,40.000000,184.400000,0.266667,40.000000,183.600000,0.260000,40.000000,182.000000,0.266667,88.518312,-2.981984,0.898637
4987,40.000000,255.066667,3.292222,40.000000,242.866667,0.638889,1.968333,196.870000,21474836.470000,87.468871,40.000000,244.200000,3.293333,40.000000,256.400000,3.293333,40.000000,264.600000,3.290000,40.000000,234.800000,0.646667,40.000000,248.000000,0.633333,40.000000,245.800000,0.636667,87.468871,-3.103280,-0.623088
5098,40.000000,118.600000,3.430000,40.000000,22.400000,0.704444,2.068333,196.870000,21474836.470000,86.752357,40.000000,113.800000,3.423333,40.000000,121.200000,3.430000,40.000000,120.800000,3.436667,40.000000,17.800000,0.713333,40.000000,23.000000,0.706667,40.000000,26.400000,0.693333,86.752357,-2.760632,0.533904
5206,40.000000,30.866667,3.481111,40.000000,14.866667,0.713333,2.098333,196.870000,21474836.470000,86.939728,40.000000,25.200000,3.476667,40.000000,31.400000,3.480000,40.000000,36.000000,3.486667,40.000000,20.600000,0.720000,40.000000,10.600000,0.716667,40.000000,13.400000,0.703333,86.939728,-2.470364,0.623788
5317,40.000000,-55.666667,3.337778,40.000000,20.266667,0.713333,2.026667,196.870000,21474836.470000,84.586393,40.000000,-56.800000,3.333333,40.000000,-52.600000,3.336667,40.000000,-57.600000,3.343333,40.000000,28.200000,0.720000,40.000000,22.200000,0.716667,40.000000,10.400000,0.703333,84.586393,-1.870616,1.861127
5428,40.000000,-48.000000,3.255556,40.000000,22.933333,0.757778,2.008333,196.960000,21474836.470000,80.055819,40.000000,-45.200000,3.253333,40.000000,-49.600000,3.253333,40.000000,-49.200000,3.260000,40.000000,20.200000,0.763333,40.000000,25.400000,0.760000,40.000000,23.200000,0.750000,80.055819,-1.429995,2.664613
5536,40.000000,-37.733333,3.187778,40.000000,13.866667,0.770000,1.980000,196.960000,21474836.470000,77.255828,40.000000,-38.400000,3.186667,40.000000,-37.400000,3.186667,40.000000,-37.400000,3.190000,40.000000,10.000000,0.773333,40.000000,20.400000,0.773333,40.000000,11.200000,0.763333,77.255828,-0.754377,2.750345
5647,40.000000,-33.533333,3.122222,40.000000,14.000000,0.790000,1.956667,196.960000,21474836.470000,74.273637,40.000000,-34.800000,3.120000,40.000000,-33.600000,3.120000,40.000000,-32.200000,3.126667,40.000000,13.600000,0.793333,40.000000,14.200000,0.793333,40.000000,14.200000,0.783333,74.273637,-0.308219,2.904774
5755,40.000000,48.733333,3.123333,40.000000,-105.466667,0.743333,1.916667,196.960000,21474836.470000,71.802766,40.000000,-34.000000,3.086667,40.000000,90.000000,3.136667,40.000000,90.200000,3.146667,40.000000,-105.800000,0.746667,40.000000,-114.600000,0.740000,40.000000,-96.000000,0.743333,71.802766,0.352919,3.225430
5867,40.000000,5.866667,3.155556,40.000000,-29.866667,0.681111,1.886667,196.960000,21474836.470000,74.789486,40.000000,-34.000000,3.086667,40.000000,25.600000,3.183333,40.000000,26.000000,3.196667,40.000000,-30.200000,0.686667,40.000000,-29.600000,0.680000,40.000000,-29.800000,0.676667,74.789486,0.785548,3.176839
5978,40.000000,14.866667,3.198889,40.000000,-25.333333,0.628889,1.860000,196.960000,21474836.470000,78.983892,40.000000,-34.000000,3.086667,40.000000,39.800000,3.246667,40.000000,38.800000,3.263333,40.000000,-26.200000,0.633333,40.000000,-25.200000,0.626667,40.000000,-24.600000,0.626667,78.983892,0.099032,3.309692
6086,40.000000,10.200000,3.241111,40.000000,-19.800000,0.587778,1.840000,196.960000,21474836.470000,82.670015,40.000000,-34.000000,3.086667,40.000000,32.400000,3.313333,40.000000,32.200000,3.323333,40.000000,-20.800000,0.593333,40.000000,-19.200000,0.586667,40.000000,-19.400000,0.583333,82.670015,-0.259709,3.230069
6198,40.000000,11.800000,3.281111,40.000000,-11.333333,0.568889,1.830000,196.960000,21474836.470000,85.538397,40.000000,-34.000000,3.086667,40.000000,33.000000,3.373333,40.000000,36.400000,3.383333,40.000000,-12.400000,0.573333,40.000000,-10.600000,0.566667,40.000000,-11.000000,0.566667,85.538397,-0.552740,3.304183
6309,40.000000,6.533333,3.318889,40.000000,-19.066667,0.550000,1.820000,196.960000,21474836.470000,88.172046,40.000000,-34.000000,3.086667,40.000000,26.600000,3.426667,40.000000,27.000000,3.443333,40.000000,-31.600000,0.553333,40.000000,-15.800000,0.550000,40.000000,-9.800000,0.546667,88.172046,-0.722496,3.894905
6417,40.000000,4.000000,3.342222,40.000000,-12.066667,0.530000,1.810000,196.960000,21474836.470000,90.779703,40.000000,-34.000000,3.086667,40.000000,23.200000,3.463333,40.000000,22.800000,3.476667,40.000000,-14.200000,0.533333,40.000000,-7.200000,0.530000,40.000000,-14.800000,0.526667,90.779703,-0.526492,4.218107
6529,40.000000,-11.333333,3.341111,40.000000,23.866667,0.534444,1.811667,196.960000,21474836.470000,91.240607,40.000000,-34.000000,3.086667,40.000000,0.000000,3.460000,40.000000,-0.000000,3.476667,40.000000,0.000000,0.536667,40.000000,41.000000,0.536667,40.000000,30.600000,0.530000,91.240607,-0.768360,4.357439
6637,40.000000,-154.733333,3.321111,40.000000,-73.933333,0.440000,1.880000,196.960000,21474836.470000,92.199861,40.000000,-219.600000,3.313333,40.000000,-143.600000,3.323333,40.000000,-101.000000,3.326667,40.000000,-106.600000,0.440000,40.000000,-80.000000,0.433333,40.000000,-35.200000,0.446667,92.199861,-0.338340,5.938509
6748,40.000000,-180.266667,3.117778,40.000000,-238.933333,0.142222,1.596667,197.050000,21474836.470000,92.703096,40.000000,-69.000000,3.256667,40.000000,-220.400000,3.046667,40.000000,-251.400000,3.050000,40.000000,-241.400000,0.146667,40.000000,-245.000000,0.136667,40.000000,-230.400000,0.143333,92.703096,-0.630356,6.436235
